id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2016-2625,2016,Long métrage,LE REDOUTABLE,MICHEL HAZANAVICIUS,LES COMPAGNONS DU CINEMA,17  RUE  DE LA SORBONNE,75005,2016-08-22,2016-08-22,2.343134,48.848896,Feature,"[2.3431340003742616, 48.84889600037753]",Point,2.3431340003742616,48.84889600037753
2018-1291,2018,Long métrage,L ANGLE MORT,PIERRE TRIVIDIC ET PATRICK MARIO BERNARD,EX NIHILO,"54 rue botzaris, 75019 paris",75019,2018-10-31,2018-10-31,2.38473773,48.87927367,Feature,"[2.3847377282824516, 48.879273671576684]",Point,2.384737728282452,48.87927367157669
2019-374,2019,Long métrage,UN VOYAGE EN HIVER,Claus DREXLER,MANEKI FILMS,"205 boulevard sérurier, 75019 paris",75019,2019-03-28,2019-03-28,2.39395427,48.89520079,Feature,"[2.393954274641177, 48.89520079297742]",Point,2.393954274641177,48.89520079297742
2019-1090,2019,Long métrage,Par-dessus l'épaule de Jonas,Jérôme Bonnell,DIAPHANA FILMS,"rue daru, 75008 paris",75008,2019-09-03,2019-09-03,2.30168628,48.87788104,Feature,"[2.3016862840543624, 48.87788103861129]",Point,2.3016862840543624,48.87788103861129
2019-970,2019,Série TV,VAMPIRES,VLADIMIR DE FONTENAY/MARIE MONGE,TETRA MEDIA FICTION,"66 rue pixérécourt, 75020 paris",75020,2019-08-01,2019-08-02,2.39615621,48.87396516,Feature,"[2.396156207832244, 48.87396516096608]",Point,2.396156207832244,48.87396516096608
2019-989,2019,Long métrage,Maoussi,Charlotte Schiøler,C.S. Productions,"rue emile desvaux, 75019 paris",75019,2019-08-08,2019-08-11,2.39886793,48.87663442,Feature,"[2.3988679342908203, 48.87663441927208]",Point,2.3988679342908203,48.87663441927208
2019-1111,2019,Long métrage,Seize Printemps,Suzanne Lindon,Avenue B Productions,"8 place charles dullin, 75018 paris",75018,2019-09-13,2019-09-14,2.3425555,48.88328496,Feature,"[2.3425554980620515, 48.883284963641515]",Point,2.3425554980620515,48.88328496364152
2018-764,2018,Série TV,Osmosis,Julius Berg,CAPA SERIES,"6 passage de la fonderie, 75011 paris",75011,2018-07-06,2018-07-08,2.37578399,48.86648225,Feature,"[2.3757839921683668, 48.86648224840642]",Point,2.3757839921683668,48.86648224840642
2021-1676,2021,Série TV,Lupin - Saison 2,Ludovic BERNARD,Gaumont Production Télévision,"rue de rivoli, 75001 paris",75001,2021-11-30,2021-11-30,2.34481202,48.85961724,Feature,"[2.344812017205892, 48.859617240147905]",Point,2.344812017205892,48.85961724014791
2016-848,2016,Série TV,IN AMERICA,VINCENT PRIMAULT,MAKING PROD,AVENUE  CAMOENS ET ESCALIERS DELESSERT,75016,2016-04-04,2016-04-04,2.286387,48.859707,Feature,"[2.286387000309066, 48.85970700031926]",Point,2.286387000309066,48.85970700031926
