type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,710,Tintin au pays de l'or noir,Hergé,59,4776,80
Bande dessinée jeunesse,680,Devoirs citoyens,"Coppée,  Thierry",44,2712,59
Bande dessinée jeunesse,1099,Max et Lili ont du mal à se concentrer,"Saint-Mars,  Dominique de",50,4616,105
Bande dessinée jeunesse,800,Ténébris,"Sobral,  Patrick",46,2342,58
Bande dessinée jeunesse,583,Jeux de vilains,Midam,35,3992,47
Bande dessinée jeunesse,1487,"Toi, je te zut !",Mr Tan,55,2901,109
Bande dessinée jeunesse,679,Monstres en vue,"Didier,  Anne",40,2605,48
Bande dessinée jeunesse,1265,La vengeance des gnomes,"Didier,  Anne",48,3503,76
Bande dessinée jeunesse,887,Les sisters. 10. Survitaminées !,"Cazenove,  Christophe",45,2885,66
Bande dessinée jeunesse,856,Max ne veut pas se laver,"Saint-Mars,  Dominique de",41,4075,73
Bande dessinée jeunesse,572,One Piece. 68. Alliance entre pirates,"Oda,  Eiichiro",45,3580,54
Bande dessinée jeunesse,1455,La rentrée des claques,Mr Tan,55,4332,117
Bande dessinée jeunesse,1236,Ça va dégominer !,"Didier,  Anne",48,5629,83
Bande dessinée jeunesse,847,Lili est amoureuse,"Saint-Mars,  Dominique de",40,4362,76
Bande dessinée jeunesse,574,L'histoire drôle,"Coppée,  Thierry",36,2529,51
Bande dessinée jeunesse,601,One Piece : édition originale. 99. Luffy au chapeau de paille,"Oda,  Eiichir?",45,877,47
Bande dessinée jeunesse,967,Lili est stressée par la rentrée,"Saint-Mars,  Dominique de",46,5075,80
Bande dessinée jeunesse,793,Walking blork,Midam,41,3380,50
Bande dessinée jeunesse,687,Les Phoenix,"Dequier,  Bruno",49,2649,64
Bande dessinée jeunesse,551,Un peu... beaucoup... passionnément !,"Tessier,  Grégory",39,2552,42
Bande dessinée jeunesse,923,Je serai toujours avec toi,"Lyfoung,  Patricia",48,4675,70
Bande dessinée jeunesse,1010,"En avant, mâche !",Nob,49,2351,68
Bande dessinée jeunesse,836,Game over. 9. Bomba fatale,Midam,39,3138,50
Livre adulte,569,Changer : méthode,"Louis,  Édouard",45,748,48
Livre jeunesse,549,La prophétie,"Sutherland,  T. T.",48,1799,62
Bande dessinée jeunesse,1210,La pierre de Jovénia,"Sobral,  Patrick",54,5221,107
Bande dessinée jeunesse,617,Naruto. 66,"Kishimoto,  Masashi",44,3236,54
Livre adulte,603,Leurs enfants après eux : roman,"Mathieu,  Nicolas",40,1810,54
Bande dessinée jeunesse,568,Passion écologie,"Tessier,  Grégory",40,1267,43
Livre jeunesse,647,Journal d'un dégonflé. 1. Carnet de bord de Greg Heffley,"Kinney,  Jeff",51,2577,70
Livre jeunesse,590,Sur le chantier,"Barton,  Byron",49,1575,98
Bande dessinée jeunesse,574,Louca. 6. Confrontations,"Dequier,  Bruno",43,1656,51
Bande dessinée jeunesse,1515,Mortelle Adèle. 3. C'est pas ma faute !,Tan,53,5432,106
Bande dessinée jeunesse,1024,Le cycle d'Anathos : la marque du destin,"Sobral,  Patrick",49,4074,70
Bande dessinée jeunesse,665,Chandelle-sur-Trouille,"Fraipont,  Céline",46,2621,57
Bande dessinée jeunesse,624,Frémissements,"Horikoshi,  Kohei",50,2881,61
Bande dessinée jeunesse,553,Sans les mains,"Cauvin,  Raoul",48,1434,50
Bande dessinée jeunesse,942,La galère d'Obélix,"Uderzo,  Albert",52,4435,71
Bande dessinée jeunesse,1160,Ariol. 7. Le maître-chien,"Guibert,  Emmanuel",45,3815,75
Bande dessinée jeunesse,973,Les Légendaires. 18. La fin de l'histoire ?,"Sobral,  Patrick",52,3164,74
Bande dessinée jeunesse,914,La grande traversée,"Goscinny,  René",53,5783,75
Livre adulte,662,L'innocence et la loi,"Connelly,  Michael",46,778,47
Bande dessinée jeunesse,643,Spy x Family. 2,"End?,  Tatsuya",53,1305,56
Bande dessinée jeunesse,561,Avni : Animal vraiment non identifié. 1,"Pujol,  Romain",35,2096,39
Jeux vidéos tous publics Non prêtables,821,Console Nintendo Switch,,1,1648,2
Bande dessinée jeunesse,804,Lou !. 6. L'âge de cristal,"Neel,  Julien",52,3907,71
Bande dessinée jeunesse,680,Ca déménage !,"Pujol,  Romain",43,1036,46
Bande dessinée jeunesse,572,Les soeurs au pouvoir !,"Dutto,  Olivier",36,1022,40
Bande dessinée jeunesse,803,Simon a deux maisons,"Saint-Mars,  Dominique de",45,4050,79
Bande dessinée jeunesse,853,Où est Pétula ?,"Guibert,  Emmanuel",37,3867,54
Livre jeunesse,663,Bébés chouettes,"Waddell,  Martin",57,3601,130
Bande dessinée jeunesse,596,L'atelier des sorciers. 3,"Shirahama,  Kamome",53,1988,56
Bande dessinée jeunesse,560,One Piece : édition originale. 79. Lucy !!,"Oda,  Eiichir?",47,2312,54
Livre adulte,552,Gagner n'est pas jouer,"Coben,  Harlan",46,628,46
Bande dessinée jeunesse,668,Romance dawn,"Oda,  Eiichiro",41,2285,59
Bande dessinée jeunesse,644,Paddle... my name is Kid Paddle,Midam,40,3838,55
Livre sonore jeunesse,625,Coco à l'école,"Du Bouchet,  Paule",47,1672,74
Jeux vidéos tous publics Non prêtables,904,Console PlayStation 4,,2,2587,6
Livre adulte,647,L'énigme de la chambre 622 : roman,"Dicker,  Joël",51,1313,62
Bande dessinée adulte,786,"Une jeunesse au Moyen-Orient, 1978-1984","Sattouf,  Riad",52,4292,74
Bande dessinée jeunesse,759,"Yuzu, la petite vétérinaire. 1","Itô,  Mingo",42,501,50
Livre jeunesse,1043,"Va-t'en, grand monstre vert !","Emberley,  Ed",53,3963,120
