rang,type_de_document,reservations,titre,auteur
144,Livre adulte,164.0,L'inconnu de la poste,"Aubenas,  Florence"
345,DVD nouveautés tous publics,102.0,Notre-Dame brûle,
412,Bande dessinée jeunesse,93.0,"OK, let's stand up !","Oda,  Eiichiro"
857,,61.0,Razzia,"Sobral,  Patrick"
206,Bande dessinée ado,134.0,Naruto. 6,"Kishimito,  Masashi"
480,Bande dessinée jeunesse,86.0,Le dédale rouge,"Siegel,  Mark"
175,Nouveauté,151.0,Comment font les gens ? : roman,"Lamberterie,  Olivia de"
209,Bande dessinée jeunesse,133.0,Ça sent la croquette !,Mr Tan
606,Nouveauté,76.0,L'homme peuplé : roman,"Bouysse,  Franck"
996,Bande dessinée adulte,56.0,Après la chute,"Gomont,  Pierre-Henry"
295,Livre adulte,109.0,Beyrouth-sur-Seine,"Ghoussoub,  Sabyl"
538,Livre adulte,81.0,Ci-gît l'amer : guérir du ressentiment : essai,"Fleury,  Cynthia"
638,Livre adulte,73.0,"Flavour : plus de légumes, plus de saveurs","Ottolenghi,  Yotam"
680,DVD tous publics,70.0,The  Square,
792,Nouveauté,65.0,L'autre fille,"Ernaux,  Annie"
429,Livre adulte,91.0,Le laboureur et les mangeurs de vent : liberté intérieure et confortable servitude,"Cyrulnik,  Boris"
891,Bande dessinée jeunesse,60.0,L'atelier des sorciers. 3,"Shirahama,  Kamome"
698,Bande dessinée jeunesse,70.0,Chat méchant,"Guibert,  Emmanuel"
985,Instrument de musique ou Console de jeu,56.0,Pack piano numérique YAMAHA NP12,
11,Livre adulte,614.0,Regardez-nous danser,"Slimani,  Leïla"
178,Non empruntable,149.0,A la pêche aux nouilles !,Mr Tan
504,Bande dessinée jeunesse,84.0,Les cicatrices du monde,"Sobral,  Patrick"
634,Bande dessinée jeunesse,73.0,Les Légendaires. 19. World without : Artémus le Légendaire,"Sobral,  Patrick"
889,Livre adulte,60.0,Les oubliés du dimanche : roman,"Perrin,  Valérie"
63,Livre adulte,259.0,Une sortie honorable : récit,"Vuillard,  Éric"
303,DVD nouveautés tous publics,107.0,Une femme du monde,
436,Nouveauté,90.0,L'île haute : roman,"Goby,  Valentine"
862,Livre adulte,61.0,Impact,"Norek,  Olivier"
899,Nouveauté,60.0,Rien ne t'appartient,"Appanah,  Nathacha"
28,Livre adulte,367.0,Ton absence n'est que ténèbres : roman,Jón Kalman Stefánsson
671,Livre adulte,71.0,Les formes du visible : une anthropologie de la figuration,"Descola,  Philippe"
247,Nouveauté,122.0,I'm every woman,"Strömquist,  Liv"
276,Livre adulte,114.0,N'avoue jamais : roman,"Gardner,  Lisa"
300,Bande dessinée adulte,107.0,L'odyssée d'Hakim. 2. De la Turquie à la Grèce,"Toulmé,  Fabien"
987,Bande dessinée jeunesse,56.0,Avarice,"Ogaki,  Philippe"
472,DVD nouveautés tous publics,87.0,Le  discours,
